"","X1","sessionId","userid","cond","ip_check","attention_check","senario","decision","comfort","useful","risk","appropriate","expected","id","default","framing","ask.reason","who","what","purpose","collection","page","whof","purposef","collectionf","whatf","cstore","caction"
"1",14,2,68543,94,FALSE,0,11170,0,-2,1,-2,-2,-1,14,0,0,0,5,7,0,10,1,"assis","preshouse","remrecoshr","coalarm","share","reco"
"2",15,2,68543,94,FALSE,0,11180,0,-3,-2,-2,-3,-2,15,0,0,1,6,8,1,11,2,"tv","lochouse","remshr","locsens","share","nothing"
"3",16,2,68543,94,FALSE,0,11190,1,2,2,1,2,2,16,0,0,0,2,4,0,7,3,"hvac","preshouse","remserv","colight","remserv","nothing"
"4",17,2,68543,94,FALSE,0,11200,0,-2,-1,1,-1,1,17,0,0,1,3,5,2,8,4,"wash","opauto","remoptishr","coassis","share","opti"
"5",18,2,68543,94,FALSE,0,11210,1,1,2,2,2,1,18,0,0,1,0,2,2,5,5,"secu","opauto","reminsi","cohvac","remserv","insight"
"6",19,2,68543,94,FALSE,0,11220,0,-2,1,2,-2,1,19,0,0,0,1,3,3,6,6,"refr","alert","remreco","cowash","remserv","reco"
"7",20,2,68543,94,FALSE,0,11230,1,-1,2,1,1,2,20,0,0,0,4,10,1,1,7,"light","lochouse","locopti","micro","locally","opti"
"8",21,2,68543,94,FALSE,0,11240,0,-1,1,-1,-2,-1,21,0,0,0,4,6,3,9,8,"light","alert","reminsishr","cotv","share","insight"
"9",22,2,68543,94,FALSE,0,11250,1,1,2,2,2,1,22,0,0,1,5,11,2,2,9,"assis","opauto","locinsi","watch","locally","insight"
"10",23,2,68543,94,FALSE,0,11260,0,-1,-2,-1,-1,-2,23,0,0,0,7,1,1,4,10,"alarm","lochouse","remopti","corefri","remserv","opti"
"11",24,2,68543,94,FALSE,0,11270,0,-2,-1,2,1,-1,24,0,0,0,3,9,0,0,11,"wash","preshouse","locally","cam","locally","nothing"
"12",25,2,68543,94,FALSE,0,11280,0,-1,1,2,-2,2,25,0,0,0,6,0,3,3,12,"tv","alert","locreco","cosecu","locally","reco"
"13",27,3,75906,688,FALSE,0,82450,1,-2,-2,-2,-3,-2,27,1,2,0,6,0,2,9,1,"tv","opauto","reminsishr","cosecu","share","insight"
"14",28,3,75906,688,FALSE,0,82460,0,-2,-2,-2,-2,0,28,1,2,0,0,2,0,11,2,"secu","preshouse","remshr","cohvac","share","nothing"
"15",29,3,75906,688,FALSE,0,82470,0,0,0,2,0,0,29,1,2,1,4,10,3,7,3,"light","alert","remserv","micro","remserv","nothing"
"16",30,3,75906,688,FALSE,0,82480,1,1,2,1,1,0,30,1,2,1,1,7,0,4,4,"refr","preshouse","remopti","coalarm","remserv","opti"
"17",31,3,75906,688,FALSE,0,82490,0,-1,0,-1,-1,0,31,1,2,0,0,6,2,3,5,"secu","opauto","locreco","cotv","locally","reco"
"18",32,3,75906,688,FALSE,0,82500,0,-2,-1,-2,-2,0,32,1,2,1,7,1,3,10,6,"alarm","alert","remrecoshr","corefri","share","reco"
"19",33,3,75906,688,FALSE,0,82510,0,-1,2,-1,-1,0,33,1,2,0,5,11,1,8,7,"assis","lochouse","remoptishr","watch","share","opti"
"20",34,3,75906,688,FALSE,0,82520,1,1,1,0,0,0,34,1,2,0,7,5,1,2,8,"alarm","lochouse","locinsi","coassis","locally","insight"
"21",35,3,75906,688,FALSE,0,82530,0,-2,-2,-2,-1,0,35,1,2,0,3,9,2,6,9,"wash","opauto","remreco","cam","remserv","reco"
"22",36,3,75906,688,FALSE,0,82540,1,2,2,2,2,0,36,1,2,0,5,3,3,0,10,"assis","alert","locally","cowash","locally","nothing"
"23",37,3,75906,688,FALSE,0,82550,1,2,2,2,2,0,37,1,2,1,6,4,0,1,11,"tv","preshouse","locopti","colight","locally","opti"
"24",38,3,75906,688,FALSE,0,82560,0,-2,-1,0,-1,0,38,1,2,0,2,8,1,5,12,"hvac","lochouse","reminsi","locsens","remserv","insight"
"25",53,5,1248,252,FALSE,0,30130,1,1,3,1,2,2,53,0,1,0,2,9,2,10,1,"hvac","opauto","remrecoshr","cam","share","reco"
"26",54,5,1248,252,FALSE,0,30140,1,3,3,3,3,3,54,0,1,0,6,5,1,6,2,"tv","lochouse","remreco","coassis","remserv","reco"
